conv_id,turn_no,conv_type,speaker,text,emotion,empathy,politeness
7,2,high_008,T,all right look maybe to help me understand you know more about that anger I'm wondering if you could you know choose two or three pictures here that look like how you were angry at the time which which of the cards here that would show how angry you were okay don't I might just take a look at those okay it does look like anger doesn't it it's a pretty big anger so after you'd had that you know a big thing with your mum you you went to your room right,,non empathetic,highly polite
7,3,high_008,C,well she got really angry at me because on the way to my room my idiot sister got in the way so I pushed her out of the way she's just annoying so then I went into my room the only place that I really feel safe slammed the door and then mums favorite picture fell on the floor,sad,,
7,4,high_008,T,thank you for sharing that with me because it really and being for being so honest about your anger because what it does is help I don't know if it's helping you but it's certainly helping me to understand that this is really big for you and it's a big expression but surprisingly you know anger anger's a good thing in a way because it's it's letting you know that something wasn't right and wasn't fair that he he just did change the thing without your permission without you knowing so in some ways you had a right to be angry but what happens what I heard you saying in as you were telling me what happened next what happened next was that your anger took charge and he it did more than what it's meant to do your your anger is just just to let you know that you're angry okay but what it did what I feel it did it just pushed you out of the road and said I'm I'm taking control here so Jane when you were angry did you feel it anywhere in your body,,non empathetic,highly polite
7,5,high_008,C,well my neck is really sore and its really paining and and my shoulders I just it's really like it's it just feels like I've been I've been hit by something,angry,,
7,6,high_008,T,the end of the day that that pushing your sister over and yelling at your mum did,,non empathetic,low polite
7,7,high_008,C,it's made it worse yeah,angry,,
7,8,high_008,T,yes which is hard to see at the time I I do understand that but what I'm thinking is that if sometimes if we tell our anger look thank you you've done a good job it doesn't have to get so angry then because you you know you you're telling it that it's thank you you've done a good job you've let me know I'm angry now I'm going to deal with it from here,,highly empathetic,highly polite
7,9,high_008,C,you have to help me with that a bit i think,grateful,,
7,10,high_008,T,we will,,highly empathetic,impolite
8,0,high_009,T,hi I'm Amy the pharmacist so I understand you have some questions,,highly empathetic,highly polite
8,1,high_009,C,hi I'm Mario and my doctor suggested I talked to a pharmacist about quitting smoking do you have the time for this,afraid,,
8,2,high_009,T,sure why don't you tell me a little bit about what you're thinking how soon you'd like to quit and why you want to quit,,non empathetic,highly polite
8,3,high_009,C,my cholesterol and my blood pressure are high my father and my uncle both had heart attacks when they were pretty young so my doctor's been telling me that if I quit I'll cut down on my chances of having a heart attack,hopeful,,
8,4,high_009,T,that's correct quitting would be important for you and it will reduce your chances of having heart problems,,highly empathetic,low polite
8,5,high_009,C,so that's the situation I've tried to quit a couple of times before but it didn't work so what I was hoping is that you could go over the different options and help me pick the best one,hopeful,,
8,6,high_009,T,hmm I'd be happy to do that first tell me exactly which products you used and more importantly how you use them,,highly empathetic,highly polite
8,7,high_009,C,first I tried the gum I like to chew gum so I thought this would be good so I chewed about three to four pieces of gum a day but I was miserable and I started smoking after four days then I tried the patch a couple of months later I felt pretty good for about a week so I quit using it didn't think I needed it anymore started smoking two days later,sad,,
8,8,high_009,T,based on what you've told me it sounds like you didn't get the full benefit of the product a few pieces of gum won't get enough nicotine into your body to make you comfortable you need at least nine pieces a day for it to be effective and it has to be used in a very specific way not chewed like regular chewing gum,,non empathetic,low polite
8,9,high_009,C,I admit I didn't read the directions last time,sad,,
8,10,high_009,T,as for the patch sounds like it worked for you you just didn't stay on it long enough we recommend 10 to 12 weeks and this gets enough nicotine into your body to help reduce most of the withdrawal symptoms while you work on learning to live your life without cigarettes you were able to quit for a week with it so it seems like it might be a good choice now but there are others as well,,highly empathetic,highly polite
8,11,high_009,C,yeah my doctor said something about a pill I didn't like the taste of the gum much,afraid,,
8,12,high_009,T,well that's understandable but you should know there are new flavors that my patients say tastes better to be honest all the medications are effective it's just a matter of what you prefer you've already tried the patch there's also a nicotine lozenge a nasal spray an oral inhaler in tablet form we have bupropion which you've probably heard called zyban and there's a newer medication varenicline or chantix,,highly empathetic,highly polite
8,13,high_009,C,yeah I've heard of those but I think I'd rather stick with the patch and this time I'm gonna make sure I keep it on long enough it,trusting,,
8,14,high_009,T,sounds like a good choice for you and given that you have some experience with it and you know that it works for you um how many cigarettes do you smoke a day,,low empathetic,highly polite
8,15,high_009,C,about a pack a day,sad,,
8,16,high_009,T,okay so you'll want to start with the 21 milligram patch for six weeks and then the 14 milligram patch for two weeks and then the seven milligram patch for the last two weeks it's pretty easy to use in the morning of your quit day I want you to put one patch on a hairless part of your upper body and leave it on for 24 hours and the next morning you take that off you put another patch on in a different location you want to switch site so you don't get any skin irritation if you have trouble sleeping you can take it off before you go to bed you read the directions on the box and if you have any questions let me know,,non empathetic,low polite
8,17,high_009,C,okay I'm gonna try it again and read the directions and stick with it this time,trusting,,
8,18,high_009,T,one more thing there are two parts to smoking so there are two parts to quitting it's an addiction to nicotine and a habit the patch will take care of the physical addiction and help with the withdrawal symptoms but you'll have to make changes in your behavior if you want to stay quit for good,,highly empathetic,low polite
8,19,high_009,C,yeah dr. Ward mentioned that to me and he gave me the card for this quitting line,grateful,,
8,20,high_009,T,that's perfect our stay quit line is excellent and convenient so let's talk about picking a quit date and we'll get you set up with a box of patches,,low empathetic,highly polite
9,0,high_010,T,I can I help you,,highly empathetic,highly polite
9,1,high_010,C,yeah I hope so um my workplace is just gone smoke-free hey I'm not not very happy about it I'm going to keep smoking but I was worrying if there's anything that can help be like get through the day it's like you know go get my beer and smoke cigarettes after work,afraid,,
9,2,high_010,T,so your workplace just went smoke free you're not too pleased huh,,non empathetic,highly polite
9,3,high_010,C,no I'm not going to quit smoking oh my god I like it it helps me relax so I mean I don't see what the big deal is,content,,
9,4,high_010,T,okay tell me a little bit about how smoking fits in your day it'll help with the,,non empathetic,low polite
9,5,high_010,C,I mean I suppose a little less than a pack a day it's not too bad um the I probably smoked for the last five years but I I mean I could quit if I wanted to but I don't really want to right now,afraid,,
9,6,high_010,T,okay so you feel like right now smoking is a pretty important part of your life it's not something you're ready to change but if the time came when you did decide to quit you feel pretty confident that you could go ahead and do that,,low empathetic,low polite
9,7,high_010,C,sure I can quit,confident,,
9,8,high_010,T,okay what makes you so confident,,low empathetic,low polite
9,9,high_010,C,well I mean I don't see why I couldn't although I have not ever tried to quit I mean it's just something that I do for fun you know I'm breaks at work in the morning and have to work,sad,,
9,10,high_010,T,mm-hmm and so in terms of a readiness to actually go ahead and make a quit attempt where do you think you fall on the scale of one to ten where one is I'm not considering it at all and ten is I'm definitely ready I want to quit,,low empathetic,low polite
9,11,high_010,C,I am probably - I haven't even thought about quitting and until this great announcement at work today I've been totally not gonna quit smoking,sad,,
9,12,high_010,T,okay what made you say two instead of one,,low empathetic,low polite
9,13,high_010,C,well I mean anything's possible I mean I I guess I could maybe be convinced yeah is there something I mean I are there things I can try that would make me like want to quit smoking,hopeful,,
9,14,high_010,T,well there are a lot of products available now that can actually help you curb that urge to smoke we have products that can help to replace nicotine which can help to decrease withdrawal symptoms that you might experience when quitting or cutting down and also some medications that your doctor could prescribe for you that might take away even some of the desire to smoke,,highly empathetic,highly polite
9,15,high_010,C,okay well that's good information I mean I'm not gonna do anything today I just need to know my options but that's encouraging if I decided to quit smoking I do have have at least tools to help me quit,hopeful,,
9,16,high_010,T,sure and back to that skill you mentioned you said you're a - what do you think it would take to move you up to a four or five,,low empathetic,low polite
9,17,high_010,C,I don't know I guess if my friends like if one of my friends decided like quit with me that would probably help too but I all my friends love to smoke so I don't see that happening in the near future,hopeful,,
9,18,high_010,T,sure I wonder if now that your workplace is going smoke-free if there will be some people at work who are planning to quit,,non empathetic,highly polite
9,19,high_010,C,that's a good point I hadn't really thought about that that's a good idea,hopeful,,
9,20,high_010,T,okay well it sounds like you're really here just for information today I'm happy to help you pick out some of these products if and when you decide that the time is right for you,,highly empathetic,highly polite
9,21,high_010,C,okay well thanks a lot,grateful,,
10,0,high_011,T,hi I'm Andrea,,highly empathetic,highly polite
10,1,high_011,C,until nice to meet you,surprised,,
10,2,high_011,T,nice to meet you so what brings you here today,,highly empathetic,highly polite
10,3,high_011,C,well I just been feeling really stressed out lately because it's coming to the holidays and my teachers have decided to lower the class with everything these next couple weeks so it is overwhelmed with it all I had I have like feel like I have so much stuff to do and what are those personalities like for crafting a variant I can't with what I have to do and I wanted to well but I trust I'll be doing that and have the holidays I'm trying to prepare to my home Thanksgiving lots of stuff going on then and then boy is coming to visit me for Christmas,confident,,
10,4,high_011,T,that's nice so hearing me say is that you're stressed with all this going on at school and preparing for the holidays that's that big it's really a lot on your plate,,non empathetic,highly polite
10,5,high_011,C,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal,afraid,,
10,6,high_011,T,for sure,,low empathetic,low polite
10,7,high_011,C,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just,sad,,
10,8,high_011,T,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far,,low empathetic,highly polite
10,9,high_011,C,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you,sad,,
10,10,high_011,T,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done,,highly empathetic,low polite
10,11,high_011,C,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off,sad,,
10,12,high_011,T,have you tried anything that might have works in past -,,highly empathetic,low polite
10,13,high_011,C,well we recently had fire home and we did the whole fascinating and I fasted like my computer completely I was a lot more with internet at all and to really do anything with electronics and I think that just having that goal in my mind and because it was forgotten I was able to really just not do it and I did so much homework during that week that I've ever done so maybe just really sitting at one with God could help me to better I should I should do it it's just so much easier said than done you know because we're college students who want to go have fun and we wanted to be with our friends but I mean I've had to cancel all my plans and this is why purple holidays at lunch sometime a benefit just frustrating me the teachers you know I mean I know that they did all something followed but there's just so much to do,trusting,,
10,14,high_011,T,it's overwhelming that getting all your stuff inside working out strategies,,non empathetic,low polite
10,15,high_011,C,I think that you know girls are always overachievers and we can't just chill and like even my fans always like why don't you just relax they're plump up your deal but I'm trying to think that but I don't like it's a big deal school some things ago because I'm not really talented with my music okay dance or any of those things but so many people are into it so school is like my gift I do good and I understand it so to not feel secure and that is kind of,confident,,
10,16,high_011,T,so you put a lot of pressure on yourself when I hear saying it's cool because you like that -,,low empathetic,low polite
10,17,high_011,C,hey I guess it is a lot of pressure I mean I remember in high school my brother was like the good pop and he's older than me he would come back with bad grades and I would come off straight A's I'm so excited you know tell me about your day Ethan Anthony was just like give him all these pitches he did so bad the whole time I always wanted to shine [Music] maybe I do need to just relax and know that the day-to-day thing,confident,,
10,18,high_011,T,do you feel like you've done involve thus far the semester your classes,,low empathetic,low polite
10,19,high_011,C,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so,confident,,
10,20,high_011,T,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good,,non empathetic,highly polite
10,21,high_011,C,probably just do it talk about it but I guess it's just nice to know that,content,,
10,22,high_011,T,completion with that and going the holiday do you feel like when you do how do you feel stressful week,,non empathetic,highly polite
10,23,high_011,C,toy was always really really relaxing so I think that'll be good it's kind of like a reward for getting through it but then I have I mean these goodies won't need a week and I feel like we'll be doing a lot in preparation for my boyfriend coming for Christmas so it won't be everlasting back for three more weeks of school and then like columns here and no it's like breach I mean it should be,afraid,,
10,24,high_011,T,so it seems like you have a lot going on this week but you seem motivated and now to complete it and you have the break to look forward to but you said it so that sounds like you you're almost there you're going to make it so it's good hearing from you [Music],,highly empathetic,highly polite
11,0,high_012,C,I pick up a prescription,afraid,,
11,1,high_012,T,okay and what's your name,,non empathetic,low polite
11,2,high_012,C,seedorf Larry seed or,hopeful,,
11,3,high_012,T,hi mr. seed or if my name is Dave it's nice to meet you I'm your pharmacist here today,,highly empathetic,highly polite
11,4,high_012,C,okay,angry,,
11,5,high_012,T,are you picking up for yourself today or for somebody else,,highly empathetic,low polite
11,6,high_012,C,yes for me,hopeful,,
11,7,high_012,T,for you great I see you have a new prescription here so what I'd like to do is take about five minutes just go over some key points about this medication how to take it and answer any questions that you might have so you're feeling comfortable with this medication that's not alright,,highly empathetic,highly polite
11,8,high_012,C,yeah,afraid,,
11,9,high_012,T,I want you have a seat here sure so to start off I'm just going to verify your information real quick so we said your name's Larry seedorf is your date of birth let's see,,highly empathetic,low polite
11,10,high_012,C,129 68 okay,angry,,
11,11,high_012,T,and it looks like are you still on same address as before,,non empathetic,low polite
11,12,high_012,C,yeah I'm pinnacle,confident,,
11,13,high_012,T,pinnacle okay and I have here according your profile that you have a sensitivity of statins which is the type of medications is that correct,,non empathetic,low polite
11,14,high_012,C,yeah,afraid,,
11,15,high_012,T,okay and according to your profile it looks like you're taking likes in Aprill hydrochlorothiazide and simvastatin which is one of those medications,,non empathetic,low polite
11,16,high_012,C,yeah I'm not taking this instead,sad,,
11,17,high_012,T,not taking any more okay great no problem then what happened when you took the statin,,low empathetic,highly polite
11,18,high_012,C,uh you know I started to get a really bad pain in my legs and that's what led me to go to the doctor you ran tests and that's when he said I had sensitivity to it,afraid,,
11,19,high_012,T,okay well hopefully you won't have any issues like that with this one I'll be sure to go over this with you okay,,low empathetic,highly polite
11,20,high_012,C,okay,angry,,
11,21,high_012,T,so the name of this medication is gem fib Raziel it's the generic for low pay,,low empathetic,low polite
11,22,high_012,C,okay,angry,,
11,23,high_012,T,now before I go into more detail about this medication what concerns do you have that you'd like me to address with you here today,,non empathetic,highly polite
11,24,high_012,C,honestly the the pain in my legs I'm a landscaper so it made it so that I couldn't work so I mean that's my biggest concern the doctor said you know that it would help to be on this and,afraid,,
11,25,high_012,T,certainly I understand that and hopefully you won't have the same issues with this one I will talk about that before I get to that though what did your doctor say this medication is used for,,highly empathetic,highly polite
11,26,high_012,C,lower cholesterol you know something about triglycerides,confident,,
11,27,high_012,T,we see this a lot with lowering cholesterol especially triglycerides which are a type of cholesterol,,non empathetic,low polite
11,28,high_012,C,okay,angry,,
11,29,high_012,T,now how did your doctor tell you that you're going to use this medication,,non empathetic,low polite
11,30,high_012,C,twice a day,angry,,
11,31,high_012,T,twice a day so you'll take one tablet which is 600 milligrams and just like it says on here it's actually two tablets so you'll be taking a total of 1200 milligrams and you'll be doing that by mouth twice a day so the best time to take it is about a half hour before breakfast and then again a half hour before dinner if you can remember that,,non empathetic,low polite
11,32,high_012,C,yeah,afraid,,
11,33,high_012,C,okay okay cool,joy,,
11,34,high_012,T,okay now one important thing about this medication is this is in addition to diet and exercise so keep doing that healthy diets all that exercise to help lower your cholesterol as well,,highly empathetic,low polite
11,35,high_012,C,all right okay,content,,
11,36,high_012,T,now what side effects did your doctor tell you that this medication made cause,,non empathetic,low polite
11,37,high_012,C,I don't know I mean he you know he did say that hopefully would be better for my my legs right,hopeful,,
11,38,high_012,T,hopefully it will now it's still possible it may cause that you are in kind of a high dose most people do fine on it I mean it's a different it works in a different way than the statin so if you experience that just let your doctor know but most people do do fine,,highly empathetic,highly polite
11,39,high_012,C,okay,angry,,
11,40,high_012,T,now other side effects you might experience you might have a little bit of stomach upset if that happens just take it with food and that should help okay,,highly empathetic,low polite
11,41,high_012,C,okay,angry,,
11,42,high_012,T,as far as storing it keep it in this bottle that'll protect it from light and from moisture keep it at room temperature you know nothing fancy,,non empathetic,low polite
11,43,high_012,C,yeah,afraid,,
11,44,high_012,T,and you do have three refills on here,,highly empathetic,low polite
11,45,high_012,C,okay,angry,,
11,46,high_012,T,so once you're getting low go ahead give us a call we'll be happy to get you your refill,,highly empathetic,highly polite
11,47,high_012,C,okay,angry,,
11,48,high_012,T,all right great now I've given you a lot of information yeah just to be sure that I've explained everything how are you going to take this medicate take it,,low empathetic,highly polite
11,49,high_012,C,what two pills twice day before meals yeah,angry,,
11,50,high_012,T,right you've got it okay good what questions do you have for me about this medication,,low empathetic,highly polite
11,51,high_012,C,I mean you know I mean I just hope that doesn't cause the pain I mean obviously you know it's frustrating I'm good not have any problems and then start taking medicine and starting to have problems,sad,,
11,52,high_012,T,absolutely I understand your frustration try to stick with it you know because it is important we lower your cholesterol but like I said if you start to notice any muscle pain let your doctor know there's other options he may be able to switch you and most people do do just fine on it,,highly empathetic,highly polite
11,53,high_012,C,okay sounds good,content,,
11,54,high_012,T,all right great what other questions do you have for me,,non empathetic,highly polite
11,55,high_012,C,I think that's it I think we're good,content,,
11,56,high_012,T,all right very good so just to kind of summarize make sure that you kind of stick with it if you do start to notice any muscle pain make sure you report that right away,,highly empathetic,highly polite
11,57,high_012,C,yeah,afraid,,
11,58,high_012,T,take it a half hour before breakfast and again a half hour before dinner if you can but it's important just to remember to take that twice a day,,non empathetic,low polite
11,59,high_012,C,Oh kind,sentimental,,
11,60,high_012,T,of regularly great alright if anything else comes up at all our numbers right here on the bottle give us a call again my name is Dave and I'd be happy to help you any of the other pharmacists would also be willing to help you as well just in case I'm not in so go ahead and give us a call,,highly empathetic,highly polite
11,61,high_012,C,great all right good,content,,
11,62,high_012,T,thank you very much I really appreciate your time today,,highly empathetic,highly polite
11,63,high_012,C,yeah all right,joy,,
11,64,high_012,T,thank you mr. seeders take care you,,highly empathetic,highly polite
12,0,high_013,T,there's great seeing you thank you for coming to diabetes clinic today my name is Mark Smith I'm a pharmacist I work with dr. Pham and I we run the diabetes clinic and we basically serve to educate our patients so that I can better manage their their diabetes and looking at your chart I see that you are pre-diabetic so what we're going to do now is kind of focus on nutrition mostly diet and exercise okay,,highly empathetic,highly polite
12,1,high_013,C,dr. Pham already made me get a nutritionist I know what you're going to tell me so Kyle Eve,confident,,
12,2,high_013,T,okay okay that's fine I'm glad you had the opportunity to talk with the nutritionist I'm she's a very nice lady and she has some very valuable information do you mind telling me some of the things that she discuss with you,,highly empathetic,highly polite
12,3,high_013,C,it's the same stuff you're gonna tell me,trusting,,
12,4,high_013,T,okay well I will show you what I normally go through with my patients and then you can let me know if there's any information that you covered with the nutritionist or any of the material it's new to you then that would be great as well basically we feel that going over the nutrition aspect of diabetes and pre-diabetes is so important there's so much that we can do without taking medications and we've seen many patients that have benefited from making just minor changes to their diet that are greatly impacted their health in a very positive way so to start off I'm just going to ask you a few questions about what you eat to get a better picture of your diet so first what did you have for breakfast,,highly empathetic,highly polite
12,5,high_013,C,couple eggs bacon biscuits great,joy,,
12,6,high_013,T,okay all right and then what about lunch,,non empathetic,low polite
12,7,high_013,C,turkey sandwiches and chips,angry,,
12,8,high_013,T,okay chips and then for dinner,,low empathetic,low polite
12,9,high_013,C,spaghetti salad bread,angry,,
12,10,high_013,T,okay spaghetti salad and bread okay so tell me then what about any snacking that you do throughout the day like any snacks or anything like that,,non empathetic,low polite
12,11,high_013,C,I don't really snack but sometimes ice cream after dinner may be free in between meals benign occasion not very often,sad,,
12,12,high_013,T,okay and also what kind of beverages and things that you drink what are some of the things that you drink throughout throughout your day,,non empathetic,low polite
12,13,high_013,C,or constant constantly feeling hydrated some thirsty so I drink sweet tea all day long,sad,,
12,14,high_013,T,okay okay well thanks for sharing a bit of information within this patient this kind of gives us a better idea of what you throughout the day so now I'm going to give you some information or show you some information about nutrition okay,,low empathetic,highly polite
12,15,high_013,C,all right know what you're going to say I need to eat less I've heard it all before it doesn't work for me so good,confident,,
12,16,high_013,T,okay all right so that's that's that's my ministrations but just just kind of bear with me so when I gather from your best far as that you know already you're fully aware of the things that you need to do in order to live a healthy lifestyle and take care of yourself however you seem to find it difficult and you don't think that it works for you is that that's kind of the fish that I'm getting so explain to me what are some of the barriers that you feel exists that prevents you from eating healthier and losing weight,,highly empathetic,low polite
12,17,high_013,C,it's mostly the money it's expensive to buy foods that are healthy and I just can't afford it consistently also like foods it tastes good I hope these stuff doesn't taste good and I just don't want it and also my kids want the good taste in food so they wouldn't even eat it if I made healthy food,sad,,
12,18,high_013,T,okay okay then I understand completely that finances can be a potential issue and an issue especially when it comes to eating healthy more importantly picking out the right healthy foods for your kids to end and also to have good taste is also a priority to you so tell me about you know we're going to switch and transition from diet and talk about exercise tell me about your normal exercise routine,,highly empathetic,highly polite
12,19,high_013,C,honestly I only have one I haven't exercised in years just don't feel like it put all the money to join again,sad,,
12,20,high_013,T,okay okay and then what are some of the barriers you believe that prevent you from exercising on a regular basis,,non empathetic,low polite
12,21,high_013,C,well kids they take a lot of time group and money like I said gym memberships or there's several close to my home but they're too expensive for me to get and I just don't have enough time the kids take a ball a day of the day and then work,angry,,
12,22,high_013,T,all right and then what what ultimate benefits let's talk about benefits what benefits that you feel that you can ultimately gain by by seeking out more nutritious foods and incorporating exercise into a daily regimen regimen and an overall losing weight what do you think would be the benefits of doing all that,,highly empathetic,highly polite
12,23,high_013,C,I guess it's good for you dr. Pham always gets mad at me and says I'm not healthy and always talks about my weight,angry,,
12,24,high_013,T,okay,,non empathetic,low polite
12,25,high_013,C,maybe,hopeful,,
12,26,high_013,T,okay maybe yes yes ma'am well and and then those things are exactly correct on what I would like to do miss Fisher I know that you're pressed for time I'm not going to take too much of your time but I would like to schedule min and I and basically sit down with you and kind of go over some some helpful alternatives and basically look at some cost effective type thing since cost is an issue with you and then also look at some resources that we can channel into when it comes to exercise you'll soon find out that some of the exercises that you can do they don't even require a gym membership so you know if that's something deal at because you mentioned to me that time and money are contouring for you so we basically want to work with you together to see if we can get something that that better suits you you know and get you on the right track when it comes to your pre-diabetes and overall losing weight so would you like to come in and scheduling Pullman with us about a week from now,,highly empathetic,highly polite
12,27,high_013,C,yeah I mean you can help me with the finances and Ty,grateful,,
12,28,high_013,T,yes ma'am yes ma'am I believe that so what what we do is we'll schedule a week from now and but it was it was a pleasure talking with you and I very much look forward to working with you okay all right yeah we good rest of the day okay all right,,highly empathetic,highly polite
13,0,high_014,T,hi I'm Andrea,,highly empathetic,highly polite
13,1,high_014,C,until nice to meet you,joy,,
13,2,high_014,T,nice to meet you so what brings you here today,,highly empathetic,highly polite
13,3,high_014,C,well I just been feeling really stressed out lately because it's coming to the holidays and my teachers have decided to lower the class with everything these next couple weeks so it is overwhelmed with it all I had I have like feel like I have so much stuff to do and what are those personalities like for crafting a variant I can't with what I have to do and I wanted to well but I trust I'll be doing that and have the holidays I'm trying to prepare to my home Thanksgiving lots of stuff going on then and then boy is coming to visit me for Christmas,confident,,
13,4,high_014,T,that's nice so hearing me say is that you're stressed with all this going on at school and preparing for the holidays that's that big it's really a lot on your plate,,non empathetic,highly polite
13,5,high_014,C,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal,afraid,,
13,6,high_014,T,for sure,,low empathetic,low polite
13,7,high_014,C,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just,sad,,
13,8,high_014,T,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far,,low empathetic,highly polite
13,9,high_014,C,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you,sad,,
13,10,high_014,T,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done,,highly empathetic,low polite
13,11,high_014,C,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off,sad,,
13,12,high_014,T,have you tried anything that might have works in past -,,highly empathetic,low polite
13,13,high_014,C,well we recently had fire home and we did the whole fascinating and I fasted like my computer completely I was a lot more with internet at all and to really do anything with electronics and I think that just having that goal in my mind and because it was forgotten I was able to really just not do it and I did so much homework during that week that I've ever done so maybe just really sitting at one with God could help me to better I should I should do it it's just so much easier said than done you know because we're college students who want to go have fun and we wanted to be with our friends but I mean I've had to cancel all my plans and this is why purple holidays at lunch sometime a benefit just frustrating me the teachers you know I mean I know that they did all something followed but there's just so much to do,trusting,,
13,14,high_014,T,it's overwhelming that getting all your stuff inside working out strategies,,non empathetic,low polite
13,15,high_014,C,I think that you know girls are always overachievers and we can't just chill and like even my fans always like why don't you just relax they're plump up your deal but I'm trying to think that but I don't like it's a big deal school some things ago because I'm not really talented with my music okay dance or any of those things but so many people are into it so school is like my gift I do good and I understand it so to not feel secure and that is kind of,confident,,
13,16,high_014,T,so you put a lot of pressure on yourself when I hear saying it's cool because you like that -,,low empathetic,low polite
13,17,high_014,C,hey I guess it is a lot of pressure I mean I remember in high school my brother was like the good pop and he's older than me he would come back with bad grades and I would come off straight A's I'm so excited you know tell me about your day Ethan Anthony was just like give him all these pitches he did so bad the whole time I always wanted to shine [Music] maybe I do need to just relax and know that the day-to-day thing,confident,,
13,18,high_014,T,do you feel like you've done involve thus far the semester your classes,,low empathetic,low polite
13,19,high_014,C,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so,confident,,
13,20,high_014,T,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good,,non empathetic,highly polite
13,21,high_014,C,probably just do it talk about it but I guess it's just nice to know that,content,,
13,22,high_014,T,completion with that and going the holiday do you feel like when you do how do you feel stressful week,,non empathetic,highly polite
13,23,high_014,C,toy was always really really relaxing so I think that'll be good it's kind of like a reward for getting through it but then I have I mean these goodies won't need a week and I feel like we'll be doing a lot in preparation for my boyfriend coming for Christmas so it won't be everlasting back for three more weeks of school and then like columns here and no it's like breach I mean it should be,afraid,,
13,24,high_014,T,so it seems like you have a lot going on this week but you seem motivated and now to complete it and you have the break to look forward to but you said it so that sounds like you you're almost there you're going to make it so it's good hearing from you [Music],,highly empathetic,highly polite
14,0,high_015,T,can you talk about the transformation that you see in people,,highly empathetic,low polite
14,1,high_015,C,it's it keeps me coming back to work every day you know I get to see them walk in and I get to see that transformation slowly and it's beautiful you know you don't you can't beat that,joy,,
14,2,high_015,T,I mean realistically not everyone is a success story and we see its relapse it's a part of recovery but but for most cases though that difficult cases that do a good job and make that transformation when does that usually occur,,highly empathetic,low polite
14,3,high_015,C,I think it's different for everyone I mean and we really can't tell who's going to make it by who has a better you know a bigger desire it's a journey and it's this process and so sometimes it happens where you see that light come on sometimes they're struggling and they're discharging and that's that's probably the most difficult part of the job is knowing that someone's not ready to be brought back to their environment and yet that's what has to happen you know it's a transitional period so,afraid,,
14,4,high_015,T,so they finished the first month of treatment and then it's time to go back to their life because they have to work or they have school or they have kids at home that's what you're talking about that's what's what's difficult or scary for you when they have to leave,,non empathetic,low polite
14,5,high_015,C,yeah because it's you know this is a family disease so when you know you leave that environment that was totally chaotic when you leave like the partner and the kids and the bills and the job and the everything and you remove yourself from that environment may you get popped back into it it's like the people around you assume that great you're finally home because now you can take care of the kids and pick up the you know dry cleaning and you know it's they expect you to be there the way you were and so much more and it's completely unrealistic and you know that they're not willing to change their behaviors if they're still going to be able to drink or have pills or whatever it is and it's it's not okay it's not safe and so that it's a difficult thing,sad,,
14,6,high_015,T,is there a strategy that you use that that that you have found to be successful in your experience with maybe that the problem cases are the harder cases,,low empathetic,low polite
